DATE,DS (DOBSON),
3/11/2024,247.2,
3/12/2024,247.1,
3/13/2024,242.1,
3/14/2024,254.1,245.3
3/15/2024,245.5,251.4
3/18/2024,246,236.5
3/19/2024,252.1,
3/20/2024,252.6,
3/21/2024,251.4,
3/22/2024,257.3,
3/25/2024,254.6,240.6
3/26/2024,246.7,247.6
3/27/2024,253.9,252.1
3/28/2024,247.9,246.5
4/2/2024,235.5,
4/3/2024,235.8,233.3
4/4/2024,233.6,
4/5/2024,240.5,234.6
4/8/2024,247.1,249.7
4/9/2024,241.5,
4/11/2024,246.7,236.6
4/12/2024,249.8,238.5
4/15/2024,248.9,240.8
4/16/2024,251,242
4/17/2024,252.6,246.2
4/18/2024,255.7,
4/19/2024,244.5,239.3
4/22/2024,250.6,243.4
4/23/2024,250.1,246
4/24/2024,239.7,
4/25/2024,247.1,240.5
4/26/2024,241.8,
4/29/2024,248.2,241.9
4/30/2024,253.2,241.6
5/2/2024,243.9,237.4
5/3/2024,243.1,236.4
5/6/2024,247.7,
5/7/2024,243.2,
5/8/2024,240.6,
5/9/2024,241,
5/10/2024,258,248.4
5/13/2024,261.3,
5/14/2024,267.5,259.4
5/15/2024,254.8,254
5/16/2024,257.6,248.2
5/17/2024,251.4,245.8
5/20/2024,245.9,246.4
5/21/2024,249.3,241.2
5/22/2024,255.8,245.2
5/23/2024,253.1,247.3
5/24/2024,262.3,259.7
5/27/2024,262.2,
5/28/2024,263.6,260.3
5/29/2024,265.6,260.3
5/30/2024,264.3,254.3
5/31/2024,271.9,
6/3/2024,272.9,262
6/4/2024,272.6,
6/5/2024,272.4,256
6/6/2024,269.7,264
6/7/2024,265.7,259.7
6/10/2024,259.2,259.4
6/11/2024,262.7,260.2
6/12/2024,270.5,256.9
6/13/2024,270.2,259.8
6/14/2024,272.8,
6/18/2024,274.1,262
6/19/2024,269.3,256.7
6/20/2024,257.8,
6/21/2024,270.8,259.7
6/24/2024,276.1,253.9
6/25/2024,271.4,
6/26/2024,272.7,260.2
6/28/2024,279.2,265
7/1/2024,269.1,262.6
7/2/2024,266.6,
7/3/2024,266.7,256.5
7/4/2024,256.7,
7/5/2024,268.2,257.6
7/8/2024,261.2,248.3
7/9/2024,261.5,256.5
7/10/2024,259.2,
7/11/2024,272.2,263
7/12/2024,258.6,247
7/15/2024,258.9,254.6
7/16/2024,224.9,
7/17/2024,258.5,
7/18/2024,259.3,
7/19/2024,257.2,
7/22/2024,266.3,257.9
7/23/2024,268.3,262
7/24/2024,262.7,
7/25/2024,273.1,256.8
7/26/2024,257.9,259.2
7/29/2024,260,
7/30/2024,,
7/31/2024,,
